user_id,n_events,n_unique_businesses,start_time,end_time
328rVFXP8uJQjh8vy7HZ4Q,13,12,2019-03-03 04:17:26+00:00,2019-10-25 21:50:06+00:00
32EIO-AvcxA5WBTVZWdW1A,12,10,2014-05-25 15:55:39+00:00,2016-09-29 01:52:47+00:00
3CSPAKNl9RqZm0I-ZN7IvQ,24,21,2012-05-14 13:47:12+00:00,2021-03-24 18:38:54+00:00
3Cj25SsNE1ZuaWX75Xr4rA,11,11,2016-12-08 16:27:28+00:00,2020-12-08 22:48:12+00:00
3DWDH5MJbfS1g_MXmNbf4w,10,9,2012-07-12 21:15:34+00:00,2018-09-16 19:29:53+00:00
3JcNV0lGNwk4eQzVT1rF8Q,8,8,2016-10-28 06:18:59+00:00,2018-09-07 05:49:44+00:00
3MjgnP15DVSFer9SFI3Bkw,6,6,2013-08-23 16:43:51+00:00,2021-04-09 01:02:33+00:00
3RqYAJfEJDxIpX3xjnCmLw,87,83,2012-02-06 16:42:32+00:00,2018-08-23 19:03:58+00:00
3Z04sdgq22PYtrNswSfz6g,16,11,2012-04-22 01:09:54+00:00,2018-07-22 20:22:48+00:00
3aDmSX1qvq49rqcJQlywnw,25,21,2018-01-08 00:23:03+00:00,2020-03-27 12:52:55+00:00
3bIbqh4KqGx4fRaccLjThA,22,20,2015-09-03 01:34:17+00:00,2017-09-02 05:33:40+00:00
3dOD4idb5GqLLsDsReaFeQ,5,5,2015-11-27 22:46:08+00:00,2020-03-07 21:30:15+00:00
3edsm9Faeg3JoPVC7AJ0HA,27,25,2013-11-23 23:56:28+00:00,2016-03-13 15:11:51+00:00
3fEC7SxwGoUH4yWny_x4og,9,9,2017-02-20 04:23:18+00:00,2017-05-25 01:01:21+00:00
3jLOQJHkRk-qQARirCByYQ,22,19,2013-08-08 22:00:33+00:00,2018-09-26 16:05:13+00:00
3lx4zwjar1Tsdvd4HCo4jg,10,8,2015-06-28 01:37:51+00:00,2016-03-06 01:09:43+00:00
3uNaBdaSDghV4mWN1WWWCw,29,28,2009-05-11 02:36:41+00:00,2021-10-07 12:31:16+00:00
3yTBmOgMBYNmFXe1PNSssw,11,10,2016-07-20 19:15:20+00:00,2020-10-04 15:10:44+00:00
41MkK8zdg__ryOQnzzuSlw,5,4,2014-04-06 00:43:42+00:00,2020-07-05 17:41:27+00:00
47TuxUy9UQkVivfoqqLAKQ,5,4,2015-05-03 18:26:34+00:00,2019-02-25 22:11:27+00:00
48E8klZrUJZw0BlNzXolNQ,5,5,2018-07-15 01:01:50+00:00,2020-11-15 22:09:32+00:00
4LEgzB8iCt-ELL8RkOyxVg,15,15,2014-05-31 19:58:19+00:00,2017-07-03 14:04:10+00:00
4MUAGuqUKJtHPn1rOoXdtg,10,10,2015-02-22 02:36:52+00:00,2019-09-29 03:12:18+00:00
4OcTMOPBwY-IET2Qi6e9GA,11,11,2014-05-04 00:53:12+00:00,2019-08-29 00:37:48+00:00
4QnCNzp1jpMPaS0AnjYBLg,11,11,2012-02-03 21:37:32+00:00,2016-07-11 19:56:17+00:00
4TWxEoflOQB-0BIxD_PsYw,5,5,2015-03-07 23:23:24+00:00,2015-03-09 00:06:12+00:00
4UwB9p2W1JV2wrkXPWXwwQ,7,7,2014-02-09 08:09:27+00:00,2016-04-05 01:28:16+00:00
4XAigL1jG_J1ZwC9Hu6ZQg,23,22,2016-07-16 05:26:44+00:00,2017-02-05 19:11:58+00:00
4YHpWfw2_0mFuEset7pLfA,17,14,2012-01-12 02:40:36+00:00,2015-10-13 23:16:05+00:00
4kLNVonQ7k4bAwtL4leRbw,8,8,2016-01-19 03:57:33+00:00,2017-01-18 00:14:48+00:00
4ncqeCTfDWRd-8SUVcDvSg,7,7,2020-01-04 20:39:23+00:00,2021-03-12 22:03:56+00:00
4tvekNNUXGGbStdhwJOM_A,12,12,2011-02-12 18:43:45+00:00,2020-05-20 22:33:14+00:00
4urNhVtE0u0Eq9djxQqOMA,5,4,2016-03-21 00:04:52+00:00,2017-03-29 23:09:59+00:00
4v9Wc4MX0A6HHGfkghbhZg,47,38,2015-07-08 00:11:58+00:00,2020-09-19 17:31:10+00:00
4x2YP5HRi4z1mSI29YC_Ug,7,6,2017-05-14 21:14:43+00:00,2018-01-22 02:44:24+00:00
4yhFQ41Ju_QrEEyR-bnAZA,5,5,2013-07-13 18:25:42+00:00,2017-01-31 02:58:10+00:00
505f6LjP1Y_ofO29BuIn0A,5,3,2012-03-15 15:43:21+00:00,2017-10-30 21:01:21+00:00
50rxO0T8Z_5azw-V3dJLpg,9,8,2015-02-07 02:08:08+00:00,2019-02-04 23:40:22+00:00
51J0DDJS22fKeYWrxA56qA,5,5,2017-03-29 01:43:09+00:00,2019-09-15 20:50:09+00:00
51Mzh0f6vH0-ZiXj9jFVhw,10,10,2018-12-09 11:56:27+00:00,2021-03-15 22:21:05+00:00
53-0CIUo-pd5ysfvHXb2yQ,5,5,2010-07-26 03:37:30+00:00,2012-03-16 08:46:23+00:00
56QSLA3M13Xk1YQ0pXa5tg,64,62,2013-04-09 19:42:08+00:00,2015-02-07 10:09:51+00:00
57isKa2QYAhBmSw0phrRDg,6,6,2010-05-14 14:37:59+00:00,2010-12-30 03:57:29+00:00
5CHSYIv5X8ybaA0LndWaEQ,5,5,2017-05-14 19:39:29+00:00,2017-12-29 22:37:27+00:00
5DL6Gx3zdZb8YXtlpFhmkw,11,9,2014-11-30 05:09:31+00:00,2017-04-01 17:51:32+00:00
5FYEtbk8dSSp63LA7fu1Lw,6,6,2013-08-21 16:10:00+00:00,2014-07-08 01:45:11+00:00
5Fjs7GKqFu1Feg6-RufCuA,47,45,2008-05-15 13:31:37+00:00,2016-03-28 17:00:08+00:00
5Fwg3IQNXb_VRwC6revvpg,12,9,2017-10-27 16:19:45+00:00,2018-03-15 20:14:42+00:00
5G6P9ctMoLtkOe9jRTSONw,6,4,2010-09-15 21:19:03+00:00,2017-05-24 18:42:11+00:00
5K0fBWj5bek3vGU3Svf61Q,7,5,2015-12-28 20:44:48+00:00,2016-06-17 00:00:04+00:00
5ORHA1uWD3GxWq5DlEZU7g,6,6,2012-11-16 16:43:53+00:00,2012-12-11 16:07:59+00:00
5P62O12MbDoeyIID4Kyrng,8,8,2014-03-18 16:30:52+00:00,2017-03-27 15:19:27+00:00
5Sa5eBLh--gQ740BUPETtA,8,7,2014-07-24 01:41:30+00:00,2021-07-23 22:21:08+00:00
5VRu5uB7ORo0mUYKpGYz2w,6,5,2015-11-14 22:05:18+00:00,2020-02-24 22:15:15+00:00
5_Lyyx0QxzBWes-rWX2qWw,25,23,2010-09-11 23:25:51+00:00,2015-09-22 16:09:28+00:00
5fyBgjLIT-Tt6rXIb9QllQ,11,11,2014-08-14 23:57:46+00:00,2021-04-10 17:19:27+00:00
5hMjGLu-QXyHVmRx4SIi0Q,6,6,2018-01-15 02:43:55+00:00,2020-05-04 12:22:54+00:00
5pz-aXTubStlIgjp28Rdaw,8,8,2021-06-19 16:23:57+00:00,2022-01-05 22:32:59+00:00
5uhZbK8Fu_VD71zzwtVQ_Q,11,11,2014-04-02 02:13:51+00:00,2020-03-16 16:36:59+00:00
5uthbpu4AkVeFfNBIPBjZA,5,5,2008-05-25 18:48:22+00:00,2011-12-12 17:55:25+00:00
5yZr0ZOYqPykAXWTNHS4Sw,110,65,2013-07-17 16:46:06+00:00,2017-07-24 15:48:12+00:00
65ImPKzTM8FDDLEScDjVFw,5,5,2016-11-28 16:02:09+00:00,2019-10-20 21:41:07+00:00
68963__E9ipbuaEKjEkfRQ,6,6,2015-06-14 21:34:15+00:00,2018-03-11 19:23:50+00:00
6C8Ne6yRu6TzBLbhfhdduw,138,130,2019-01-30 19:15:57+00:00,2021-11-22 17:03:26+00:00
6DZZO3lH_u6riY9PxAmF7g,8,8,2014-05-19 23:36:15+00:00,2019-12-04 02:48:33+00:00
6HCyMWzgRYexwGCNWbLlFg,7,7,2016-02-28 00:53:20+00:00,2020-02-16 01:01:23+00:00
6I5oZmEkXEzJiVGyrqecTw,8,8,2017-04-06 18:57:49+00:00,2022-01-03 18:19:31+00:00
6Nbc29KSLuses46gGiQmNw,6,3,2016-08-07 19:57:51+00:00,2020-01-12 22:29:19+00:00
6OfZD5jh5VdKu0iesOiggA,42,41,2015-02-13 05:04:23+00:00,2019-11-28 13:44:49+00:00
6Tbarl0uObmmhRpTagSHeA,6,6,2016-12-28 05:48:42+00:00,2018-07-15 23:00:39+00:00
6ULWXgDTwp-d91927AcnbQ,7,7,2013-08-25 03:05:11+00:00,2018-06-15 23:48:27+00:00
6VEL7i246NsaHu4T_1WTvA,13,11,2013-12-05 18:29:09+00:00,2015-08-30 12:00:43+00:00
6WxhaJVulNUUsNZJ7waaGw,48,44,2012-12-30 22:09:17+00:00,2018-07-14 20:46:54+00:00
6eCRJd8XL94hVBZyOS5Cgg,8,8,2017-06-11 14:38:43+00:00,2021-05-10 02:14:38+00:00
6fLYq0zPb46LTl4i5R6QdQ,7,7,2016-03-12 19:37:17+00:00,2018-03-07 23:13:01+00:00
6icu2w2Llljakm5CrOYoVg,25,24,2017-11-16 13:45:53+00:00,2022-01-11 14:24:45+00:00
6mFXqES400I4b4tpEuCSwg,40,32,2016-09-22 03:48:03+00:00,2021-06-13 03:35:03+00:00
6pIs1ACiUCAMN5QlV-hhjQ,11,10,2018-05-02 14:14:07+00:00,2019-08-12 19:36:33+00:00
6q-QDrPQSjbE3qpWazjphg,9,5,2018-05-22 03:43:05+00:00,2019-08-08 21:43:51+00:00
7-yZhJfvsUC7ru2H6h965Q,5,5,2012-08-14 19:01:50+00:00,2014-06-18 23:00:49+00:00
73xRtTbE-vw07Nufyp5twg,11,11,2015-04-24 15:28:27+00:00,2021-03-16 13:40:45+00:00
79xmVhmZTwEfkKd2K9cBcA,6,6,2016-10-17 03:55:56+00:00,2021-07-10 02:53:18+00:00
7D8Nkcb6ujJCGIBkQ93Nhw,8,8,2013-03-06 14:53:37+00:00,2015-10-18 22:54:51+00:00
7Eq71a1cwHZ-T-k9pusdlw,17,16,2011-10-22 23:48:06+00:00,2015-06-18 23:59:10+00:00
7J-yjbrIkrtsEh1J41a6dA,23,20,2018-03-17 16:13:14+00:00,2021-10-19 15:55:50+00:00
7MneXFWqHcdcNNFBz52OkQ,6,5,2015-08-20 13:38:29+00:00,2017-04-14 19:01:39+00:00
7PX0tBKF2SEXZL8nfkoz6A,6,6,2019-11-21 01:30:09+00:00,2021-11-17 14:18:28+00:00
7PZ3zf7imfiqU-Dyau5JOA,22,18,2011-01-19 20:30:34+00:00,2013-03-04 19:40:06+00:00
7YXyZp00JU_PjSyLCDpITg,5,3,2017-08-29 23:43:12+00:00,2019-04-29 03:05:20+00:00
7_bkOv2-rqxI_IxoxO7fcw,5,5,2019-04-21 13:57:43+00:00,2019-04-22 03:01:28+00:00
7a5xVAMhxn9StliGtvyVXw,13,12,2013-05-19 01:34:41+00:00,2017-10-07 05:16:42+00:00
7dG76pMZyJ_450sDpomwQg,26,21,2015-11-07 01:51:40+00:00,2021-10-22 00:34:10+00:00
7ihniF9YdlXsObIYPHZ9Zg,5,5,2017-10-21 18:33:57+00:00,2017-10-24 23:28:13+00:00
7lQr595yf07nYmgQ-DChgA,11,11,2011-02-06 20:11:47+00:00,2011-05-22 03:26:25+00:00
7uOr2_NMoIUJDzTgicmbLw,6,6,2016-12-20 05:06:59+00:00,2021-09-19 21:22:02+00:00
7yA1eM8IyKFa8zJxQfUFng,83,61,2012-04-08 00:28:51+00:00,2021-07-21 14:26:22+00:00
83kydCNDNi5cQuh3ILLVvg,32,29,2016-04-15 15:37:33+00:00,2021-07-19 22:55:56+00:00
864qGKT31izMD-uEONbqLQ,5,5,2016-10-19 22:45:15+00:00,2020-06-26 02:05:18+00:00
86UlfAuehJBlAm06GXzBFA,9,9,2019-11-10 01:38:40+00:00,2021-07-21 15:59:15+00:00
86fipBwL3HjJd7c_UhtpNA,8,8,2018-04-22 20:04:06+00:00,2018-06-22 02:11:03+00:00
87X_fbfge3a00aD-fJwgbA,6,5,2018-09-19 20:06:42+00:00,2018-11-17 17:17:14+00:00
8GYPLFRdSl317EgD6Ox8Pw,19,19,2011-02-26 03:37:53+00:00,2021-11-14 00:18:16+00:00
8RRUjWq_JCojHHAHmwXpdw,23,20,2013-09-07 00:09:43+00:00,2018-11-06 21:25:50+00:00
8RgVFXrRnyy6DVBe0SVCTw,7,6,2017-09-04 21:16:40+00:00,2018-11-25 01:09:29+00:00
8Rsk_QxsheU01ali2ar0rg,14,14,2017-12-27 05:00:50+00:00,2020-10-31 17:59:20+00:00
8S8Vn_P5wQgC3LMDI7_uZA,5,5,2011-01-31 16:28:21+00:00,2011-11-11 19:56:33+00:00
8TmB1EAteclC5vAlgEguBA,5,4,2015-01-25 22:56:15+00:00,2016-05-21 01:48:49+00:00
8WFVPJHCpaEQe9SeG8B7jg,10,9,2012-03-13 22:22:43+00:00,2013-10-30 01:37:23+00:00
8atyZ5ZHLuN7dQoWqFfQeg,11,11,2013-05-23 08:50:28+00:00,2021-05-31 00:00:31+00:00
8i44YNsLcG4QB_vYbOCdvw,40,15,2010-04-29 01:50:39+00:00,2019-05-23 18:57:44+00:00
8mjvoi3-CIuGGpFvIElj5g,6,6,2012-07-10 23:17:47+00:00,2020-09-10 19:44:33+00:00
8oW8AgoDwIO8zObOD9IacQ,6,5,2009-06-08 01:08:24+00:00,2017-06-02 17:20:05+00:00
8pD-h427Y_aDcPxhDR7z8g,173,111,2009-06-10 11:23:47+00:00,2017-11-12 02:23:57+00:00
8qE3WisgXGm1nXxIBbM1Sg,10,10,2019-09-22 21:00:48+00:00,2020-10-02 19:08:22+00:00
8sN5xAOSfcqvO-If6nF7Hg,20,18,2016-09-14 12:27:29+00:00,2019-06-19 01:42:55+00:00
8xNsJ8Amji8xhaQ-3ABZ-w,21,16,2018-03-09 14:17:27+00:00,2020-12-14 14:17:21+00:00
90LhNTiAW-yZ-02ks5QLIw,11,8,2019-12-20 00:32:37+00:00,2021-11-19 23:59:00+00:00
96YkaD7jVs4sXXoSytxogQ,7,5,2017-12-26 09:18:40+00:00,2020-10-12 05:43:20+00:00
9C2ztWzDKBkN1o1qtT77Tg,7,7,2011-02-09 17:40:13+00:00,2012-12-08 03:03:28+00:00
9DiJLroN8jf1j5nxgWiBVw,5,5,2010-03-19 13:34:24+00:00,2013-04-30 10:35:42+00:00
9FGFghIFROXJC6fpORsJaA,7,4,2015-04-17 17:53:33+00:00,2018-06-26 16:22:42+00:00
9ME52ggZxDojxENEgQTFoQ,7,7,2016-08-13 11:25:09+00:00,2018-10-27 19:55:06+00:00
9SyeNq0ln5WvBAiawzItCQ,15,15,2014-03-02 00:23:44+00:00,2014-07-24 03:28:25+00:00
9Tjl8JIBdRljx2qoNVOkkA,23,23,2013-09-02 22:59:44+00:00,2020-09-16 03:02:30+00:00
9UTJNIyd-W9u6X_XzY_EnQ,9,9,2016-03-18 23:36:58+00:00,2019-08-30 23:12:20+00:00
9eqmrvVdTqIAtVnP4uErag,18,16,2019-08-17 14:10:40+00:00,2021-10-10 19:50:29+00:00
9f5NZKt5ca05plBaJK8dbw,7,5,2016-09-11 02:07:53+00:00,2021-02-26 22:36:30+00:00
9jxdX438tkiuCEwpzojeVg,5,5,2014-07-29 20:43:51+00:00,2014-08-03 03:44:38+00:00
9lmop9S70gBd8-xMeokSsQ,7,6,2013-01-28 23:24:28+00:00,2018-10-25 03:41:28+00:00
9q8qKP-k3eDS1b19ozh_dg,28,26,2017-02-17 04:01:12+00:00,2017-08-15 05:29:23+00:00
9rQ-1w3XcC4iPLZhdFpEoQ,15,15,2012-05-10 00:42:41+00:00,2016-05-31 18:39:20+00:00
9uQZSsw1fxAW7sfa-uCNQA,7,5,2014-09-18 03:27:27+00:00,2015-05-12 02:20:41+00:00
9ukBi_EHvEYMKfKJaXsCCQ,5,5,2013-12-28 01:14:57+00:00,2015-12-11 00:31:06+00:00
A-Q8B87FqO4Ym6PW4w-a4w,6,6,2015-06-28 19:52:14+00:00,2017-10-01 16:14:36+00:00
A7CIyRrCic7392kihfO9cw,34,28,2012-01-14 01:37:39+00:00,2020-04-18 21:06:10+00:00
A9tUlN3vJBxIIKSUAgIPAg,13,12,2013-06-15 00:59:48+00:00,2021-01-11 20:37:30+00:00
AL56au5XO_CpxIUG9itlRQ,9,9,2016-01-02 23:09:07+00:00,2018-10-18 12:45:59+00:00
APTXbNi0z1rndLT4RrZlPQ,7,7,2014-10-29 23:44:19+00:00,2015-04-20 17:07:44+00:00
AULMnhV2lvHeX1SyuwYpIg,8,8,2018-08-29 18:34:16+00:00,2021-06-22 21:13:10+00:00
AVHpzzL5nWK9DNj0iNhMuQ,10,10,2021-05-26 02:13:54+00:00,2022-01-02 00:04:34+00:00
AWl03RK1j1vCEtp9hZ1kGw,11,9,2014-10-18 19:12:16+00:00,2021-10-06 00:41:47+00:00
AbANvs8XMAynUaMX-yRwmA,26,18,2012-01-19 17:19:55+00:00,2014-06-09 16:38:35+00:00
AbKQK0qWh0yS4zcKD63CJA,5,5,2018-05-20 14:25:20+00:00,2018-07-22 05:09:10+00:00
AfccxjKm5bXDkMJmR4U_jw,6,6,2011-05-29 18:52:40+00:00,2019-11-15 18:15:51+00:00
AhWH6vJxwW_2X7px923s4A,7,6,2015-09-20 02:23:21+00:00,2016-06-19 06:29:12+00:00
